Kenmerken personen,Perioden,Toegang tot internet,Personal Computer (PC) of desktop,Laptop of netbook,Tablet,Mobiele telefoon of smartphone
Leeftijd: 12 tot 25 jaar,2013,100.0,79.7,92.1,57.7,94.4
Leeftijd: 12 tot 25 jaar,2014,99.4,71.1,90.9,65.8,96.8
Leeftijd: 12 tot 25 jaar,2015,98.6,67.6,90.4,74.4,96.9
Leeftijd: 12 tot 25 jaar,2016,99.1,70.0,93.6,77.1,97.7
Leeftijd: 12 tot 25 jaar,2017,99.6,70.8,94.4,75.8,98.2
Leeftijd: 25 tot 45 jaar,2013,99.0,66.8,84.7,53.7,86.1
Leeftijd: 25 tot 45 jaar,2014,98.9,57.7,85.2,64.3,90.3
Leeftijd: 25 tot 45 jaar,2015,98.7,47.5,86.0,71.5,93.8
Leeftijd: 25 tot 45 jaar,2016,98.9,53.2,87.6,73.6,94.8
Leeftijd: 25 tot 45 jaar,2017,99.8,52.8,90.2,76.0,98.4
Leeftijd: 45 tot 65 jaar,2013,96.2,72.3,75.7,44.6,63.0
Leeftijd: 45 tot 65 jaar,2014,97.4,69.8,77.5,62.3,75.9
Leeftijd: 45 tot 65 jaar,2015,97.2,64.8,80.2,69.2,82.5
Leeftijd: 45 tot 65 jaar,2016,98.3,63.7,81.4,71.9,89.6
Leeftijd: 45 tot 65 jaar,2017,99.0,66.6,83.1,76.3,92.9
Leeftijd: 65 jaar of ouder,2013,70.2,50.3,40.6,20.1,16.1
Leeftijd: 65 jaar of ouder,2014,72.1,42.9,45.2,29.9,26.0
Leeftijd: 65 jaar of ouder,2015,77.8,46.1,47.4,39.5,34.3
Leeftijd: 65 jaar of ouder,2016,77.6,46.0,51.6,47.4,50.9
Leeftijd: 65 jaar of ouder,2017,88.3,51.6,58.4,55.2,62.2
